Batch,Name,Well,Fish,Measure,start2end
Surv 5 96hpf,Surv 5_96hpf_10Gy\Aufnahme-194334-0006.JPG,0:00:02.433843,0:00:04.889354,0:00:00.028473,0:00:07.358141
Surv 5 96hpf,Surv 5_96hpf_10Gy\Aufnahme-194336-0007.JPG,0:00:02.039659,0:00:03.960328,0:00:00.032338,0:00:06.038496
Surv 5 96hpf,Surv 5_96hpf_10Gy\Aufnahme-194340-0008.JPG,0:00:01.094678,0:00:04.451172,0:00:00.016698,0:00:05.562548
Surv 5 96hpf,Surv 5_96hpf_10Gy\Aufnahme-194355-0009.JPG,0:00:01.129618,0:00:04.761120,0:00:00.021952,0:00:05.919262
Surv 5 96hpf,Surv 5_96hpf_10Gy\Aufnahme-194400-0010.JPG,0:00:01.810776,0:00:06.910382,0:00:00.015622,0:00:08.743659
Surv 5 96hpf,Surv 5_96hpf_10Gy\Aufnahme-194548-0022.JPG,0:00:02.164942,0:00:05.906561,0:00:00.015623,0:00:08.087126
Surv 5 96hpf,Surv 5_96hpf_10Gy\Aufnahme-194616-0023.JPG,0:00:01.694979,0:00:03.052778,0:00:00.015631,0:00:04.763388
Surv 5 96hpf,Surv 5_96hpf_10Gy\Aufnahme-194622-0024.JPG,0:00:01.380586,0:00:05.814914,0:00:00.041135,0:00:07.236635
Surv 5 96hpf,Surv 5_96hpf_10Gy\Aufnahme-194627-0025.JPG,0:00:01.767512,0:00:04.587493,0:00:00.016389,0:00:06.371394
Surv 5 96hpf,Surv 5_96hpf_10Gy\Aufnahme-194631-0026.JPG,0:00:02.731681,0:00:03.799334,0:00:00.016059,0:00:06.547074
Surv 5 96hpf,Surv 5_96hpf_10Gy\Aufnahme-194636-0027.JPG,0:00:02.239582,0:00:03.239522,0:00:00.021983,0:00:05.501087
Surv 5 96hpf,Surv 5_96hpf_10Gy\Aufnahme-194712-0028.JPG,0:00:02.119773,0:00:03.870165,0:00:00.026768,0:00:06.016706
Surv 5 96hpf,Surv 5_96hpf_10Gy\Aufnahme-194717-0029.JPG,0:00:01.769400,0:00:03.811519,0:00:00.014625,0:00:05.595544
Surv 5 96hpf,Surv 5_96hpf_10Gy\Aufnahme-194747-0031.JPG,0:00:01.366123,0:00:03.390978,0:00:00.026262,0:00:04.799005
Surv 5 96hpf,Surv 5_96hpf_15Gy\Aufnahme-201136-0098.JPG,0:00:01.303263,0:00:03.724175,0:00:00.015628,0:00:05.043066
Surv 5 96hpf,Surv 5_96hpf_15Gy\Aufnahme-201139-0099.JPG,0:00:01.226916,0:00:03.556263,0:00:00.015635,0:00:04.798814
Surv 5 96hpf,Surv 5_96hpf_15Gy\Aufnahme-201155-0100.JPG,0:00:02.163478,0:00:03.158272,0:00:00.030755,0:00:05.352505
Surv 5 96hpf,Surv 5_96hpf_15Gy\Aufnahme-201158-0101.JPG,0:00:01.718107,0:00:04.373109,0:00:00.016685,0:00:06.111349
Surv 5 96hpf,Surv 5_96hpf_15Gy\Aufnahme-201204-0102.JPG,0:00:02.199285,0:00:03.837706,0:00:00.015630,0:00:06.052621
Surv 5 96hpf,Surv 5_96hpf_15Gy\Aufnahme-201342-0118.JPG,0:00:02.486866,0:00:03.725044,0:00:00.016663,0:00:06.244197
Surv 5 96hpf,Surv 5_96hpf_15Gy\Aufnahme-201346-0119.JPG,0:00:01.422091,0:00:04.287734,0:00:00.007936,0:00:05.733462
Surv 5 96hpf,Surv 5_96hpf_15Gy\Aufnahme-201350-0120.JPG,0:00:01.185869,0:00:04.255889,0:00:00.021712,0:00:05.463470
Surv 5 96hpf,Surv 5_96hpf_15Gy\Aufnahme-201353-0121.JPG,0:00:01.691538,0:00:04.608621,0:00:00.017795,0:00:06.317954
Surv 5 96hpf,Surv 5_96hpf_15Gy\Aufnahme-201356-0122.JPG,0:00:01.484375,0:00:04.171455,0:00:00.015657,0:00:05.687546
Surv 5 96hpf,Surv 5_96hpf_20Gy\Aufnahme-202042-0192.JPG,0:00:01.850041,0:00:02.644500,0:00:00.015632,0:00:04.510173
Surv 5 96hpf,Surv 5_96hpf_20Gy\Aufnahme-202044-0193.JPG,0:00:01.681243,0:00:03.992624,0:00:00.017346,0:00:05.691213
Surv 5 96hpf,Surv 5_96hpf_20Gy\Aufnahme-202047-0194.JPG,0:00:01.089115,0:00:03.588061,0:00:00.015628,0:00:04.692804
Surv 5 96hpf,Surv 5_96hpf_20Gy\Aufnahme-202050-0195.JPG,0:00:01.453836,0:00:03.739371,0:00:00.032332,0:00:05.225539
Surv 5 96hpf,Surv 5_96hpf_20Gy\Aufnahme-202050-0196.JPG,0:00:01.447736,0:00:03.926458,0:00:00.017690,0:00:05.391884
Surv 5 96hpf,Surv 5_96hpf_20Gy\Aufnahme-202129-0207.JPG,0:00:01.716959,0:00:04.069065,0:00:00.015626,0:00:05.801650
Surv 5 96hpf,Surv 5_96hpf_20Gy\Aufnahme-202132-0208.JPG,0:00:00.930802,0:00:03.862948,0:00:00.015625,0:00:04.819743
Surv 5 96hpf,Surv 5_96hpf_20Gy\Aufnahme-202135-0209.JPG,0:00:01.526607,0:00:03.441454,0:00:00.022008,0:00:05.005743
Surv 5 96hpf,Surv 5_96hpf_20Gy\Aufnahme-202140-0210.JPG,0:00:01.237462,0:00:03.836859,0:00:00.015919,0:00:05.090240
Surv 5 96hpf,Surv 5_96hpf_20Gy\Aufnahme-202143-0211.JPG,0:00:02.096551,0:00:04.063646,0:00:00.026887,0:00:06.187084
Surv 5 96hpf,Surv 5_96hpf_20Gy\Aufnahme-202156-0212.JPG,0:00:01.045555,0:00:04.351157,0:00:00.033582,0:00:05.430294
